TransactionID,Date,ProductID,CustomerID,Quantity,Region,MarketingCampaign,TradeShowFlag,WeatherIndex,HolidayFlag,Revenue
TX00034,2023-01-03 11:34:26.246624662,P0034,C0242,15,North America,1,0,1.49,0,2846.25
TX00035,2023-01-03 13:19:34.077407740,P0014,C0257,26,Asia,0,0,0.88,0,2082.86
TX00036,2023-01-03 15:04:41.908190819,P0064,C0189,44,South America,0,1,0.5,1,7574.6
TX00037,2023-01-03 16:49:49.738973897,P0089,C0295,25,North America,0,1,0.56,0,4406.25
TX00038,2023-01-03 18:34:57.569756975,P0098,C0176,28,Europe,0,1,1.36,1,1385.72
TX00039,2023-01-03 20:20:05.400540054,P0024,C0287,33,South America,0,0,0.99,1,3191.1
TX00040,2023-01-03 22:05:13.231323132,P0058,C0293,46,Asia,1,0,1.04,0,2946.76
TX00041,2023-01-03 23:50:21.062106210,P0078,C0206,18,Europe,1,1,1.3,0,2936.16
TX00042,2023-01-04 01:35:28.892889288,P0085,C0214,18,South America,0,0,1.31,1,3476.52
TX00043,2023-01-04 03:20:36.723672367,P0005,C0140,38,Europe,0,0,0.98,0,3891.96
TX00044,2023-01-04 05:05:44.554455445,P0051,C0084,33,Asia,1,1,1.36,0,5777.31
TX00045,2023-01-04 06:50:52.385238523,P0078,C0181,27,North America,0,1,0.97,1,4404.24
TX00046,2023-01-04 08:36:00.216021602,P0087,C0127,49,South America,0,0,1.18,0,708.05
TX00047,2023-01-04 10:21:08.046804680,P0020,C0268,15,South America,0,0,0.53,0,870.45
TX00048,2023-01-04 12:06:15.877587758,P0070,C0038,44,Asia,0,0,0.64,0,862.4
TX00049,2023-01-04 13:51:23.708370837,P0092,C0022,13,Europe,1,0,1.35,0,2003.17
TX00050,2023-01-04 15:36:31.539153915,P0095,C0241,34,Europe,1,0,0.81,0,686.12
TX00051,2023-01-04 17:21:39.369936993,P0031,C0106,4,Europe,0,0,0.83,1,583.16
TX00052,2023-01-04 19:06:47.200720072,P0052,C0141,35,South America,1,0,1.16,0,4751.6
TX00053,2023-01-04 20:51:55.031503150,P0058,C0144,19,South America,0,0,1.09,0,1217.14
TX00054,2023-01-04 22:37:02.862286228,P0068,C0279,31,Europe,1,0,0.58,0,2198.83
TX00055,2023-01-05 00:22:10.693069306,P0061,C0244,25,South America,0,0,1.27,0,4348.25
TX00056,2023-01-05 02:07:18.523852385,P0003,C0190,40,North America,0,0,1.12,0,4998.4
TX00057,2023-01-05 03:52:26.354635463,P0085,C0289,12,Asia,0,0,1.36,0,2317.68
TX00058,2023-01-05 05:37:34.185418541,P0017,C0178,12,Asia,0,0,1.04,0,376.8
TX00059,2023-01-05 07:22:42.016201620,P0098,C0111,42,South America,0,0,0.91,0,2078.58
TX00060,2023-01-05 09:07:49.846984698,P0080,C0213,25,North America,0,0,0.87,0,1159.5
TX00061,2023-01-05 10:52:57.677767776,P0055,C0137,33,North America,1,1,0.5,0,6007.98
TX00062,2023-01-05 12:38:05.508550855,P0023,C0199,37,Europe,1,0,0.54,1,5956.63
TX00063,2023-01-05 14:23:13.339333933,P0065,C0006,28,Asia,0,0,0.63,0,5144.16
TX00064,2023-01-05 16:08:21.170117011,P0012,C0012,43,Asia,1,1,1.43,0,8047.88
TX00065,2023-01-05 17:53:29.000900090,P0061,C0079,9,Asia,1,0,1.38,0,1565.37
TX00066,2023-01-05 19:38:36.831683168,P0053,C0285,14,South America,0,0,1.0,0,1294.58
TX00067,2023-01-05 21:23:44.662466246,P0014,C0158,3,North America,0,0,0.68,0,240.33
TX00068,2023-01-05 23:08:52.493249324,P0068,C0271,5,Europe,1,0,0.65,0,354.65
TX00069,2023-01-06 00:54:00.324032403,P0002,C0200,26,South America,0,0,0.76,0,2739.62
TX00070,2023-01-06 02:39:08.154815481,P0036,C0149,41,Europe,0,0,1.41,0,1435.0
TX00071,2023-01-06 04:24:15.985598559,P0036,C0295,18,South America,0,0,1.02,0,630.0
TX00072,2023-01-06 06:09:23.816381638,P0002,C0292,38,Asia,0,0,1.3,0,4004.06
TX00073,2023-01-06 07:54:31.647164716,P0062,C0271,21,Europe,1,0,1.01,0,859.95
TX00074,2023-01-06 09:39:39.477947794,P0034,C0042,39,North America,0,0,1.11,0,7400.25
TX00075,2023-01-06 11:24:47.308730873,P0051,C0014,16,North America,1,0,1.11,0,2801.12
TX00076,2023-01-06 13:09:55.139513951,P0086,C0247,40,South America,1,0,0.53,0,5276.0
TX00077,2023-01-06 14:55:02.970297029,P0027,C0171,23,Asia,0,0,0.95,0,2454.79
TX00078,2023-01-06 16:40:10.801080108,P0093,C0217,29,South America,1,0,1.36,0,3629.06
TX00079,2023-01-06 18:25:18.631863186,P0017,C0136,10,Europe,0,0,0.99,0,314.0
TX00080,2023-01-06 20:10:26.462646264,P0035,C0226,5,North America,0,0,0.94,0,282.5
TX00081,2023-01-06 21:55:34.293429342,P0032,C0043,11,North America,1,1,1.03,0,2069.76
TX00082,2023-01-06 23:40:42.124212421,P0063,C0019,29,North America,0,0,0.88,1,4766.44
TX00083,2023-01-07 01:25:49.954995499,P0025,C0118,45,North America,1,1,1.02,0,1910.25
TX00084,2023-01-07 03:10:57.785778577,P0047,C0233,27,Europe,0,1,0.64,0,3060.18
TX00085,2023-01-07 04:56:05.616561656,P0039,C0261,34,North America,1,0,1.47,0,6619.46
TX00086,2023-01-07 06:41:13.447344734,P0016,C0082,14,South America,0,1,0.53,0,1519.0
TX00087,2023-01-07 08:26:21.278127812,P0039,C0030,41,North America,0,0,0.98,1,7982.29
TX00088,2023-01-07 10:11:29.108910891,P0006,C0273,42,Europe,0,1,0.71,0,4449.48
TX00089,2023-01-07 11:56:36.939693969,P0056,C0233,10,Asia,0,0,0.56,0,327.5
TX00090,2023-01-07 13:41:44.770477047,P0007,C0027,42,Asia,0,0,1.15,1,1827.84
TX00091,2023-01-07 15:26:52.601260126,P0055,C0251,11,North America,0,1,1.49,0,2002.66
TX00092,2023-01-07 17:12:00.432043204,P0030,C0252,11,Asia,0,0,1.25,0,1292.39
TX00093,2023-01-07 18:57:08.262826282,P0058,C0238,35,Europe,0,1,0.75,0,2242.1
TX00094,2023-01-07 20:42:16.093609360,P0057,C0174,19,North America,0,0,0.99,0,2110.33
TX00095,2023-01-07 22:27:23.924392439,P0011,C0193,24,Europe,0,0,0.55,0,3733.68
TX00096,2023-01-08 00:12:31.755175517,P0047,C0179,1,Asia,1,0,1.03,0,113.34
TX00097,2023-01-08 01:57:39.585958595,P0030,C0294,12,Asia,1,1,0.6,0,1409.88
TX00098,2023-01-08 03:42:47.416741674,P0082,C0214,47,North America,0,0,1.29,0,4799.64
TX00099,2023-01-08 05:27:55.247524752,P0062,C0202,14,Asia,0,0,0.56,1,573.3
TX00100,2023-01-08 07:13:03.078307830,P0073,C0249,3,North America,0,0,0.51,0,283.35
TX00101,2023-01-08 08:58:10.909090909,P0038,C0256,45,North America,0,1,1.36,0,8103.15
TX00102,2023-01-08 10:43:18.739873987,P0075,C0074,32,South America,0,0,1.44,0,1477.76
TX00103,2023-01-08 12:28:26.570657065,P0019,C0201,16,South America,0,0,0.59,0,718.08
TX00104,2023-01-08 14:13:34.401440144,P0047,C0141,38,South America,0,0,0.78,0,4306.92
TX00105,2023-01-08 15:58:42.232223222,P0070,C0205,10,Europe,0,0,1.24,0,196.0
TX00106,2023-01-08 17:43:50.063006300,P0053,C0198,17,Asia,0,1,1.04,0,1571.99
TX00107,2023-01-08 19:28:57.893789378,P0077,C0170,49,Asia,0,0,1.45,0,493.92
TX00108,2023-01-08 21:14:05.724572457,P0074,C0227,40,South America,1,0,0.89,0,2348.0
TX00109,2023-01-08 22:59:13.555355535,P0070,C0178,4,North America,1,0,0.5,0,78.4
TX00110,2023-01-09 00:44:21.386138613,P0028,C0274,15,North America,1,0,0.52,0,570.3
TX00111,2023-01-09 02:29:29.216921692,P0073,C0061,33,North America,0,0,1.06,0,3116.85
TX00112,2023-01-09 04:14:37.047704770,P0092,C0203,39,North America,0,1,1.25,0,6009.51
TX00113,2023-01-09 05:59:44.878487848,P0072,C0132,10,Europe,0,0,1.29,0,1468.7
TX00114,2023-01-09 07:44:52.709270927,P0099,C0071,7,Asia,0,0,1.41,0,740.39
TX00115,2023-01-09 09:30:00.540054005,P0047,C0077,33,South America,0,0,0.73,0,3740.22
TX00116,2023-01-09 11:15:08.370837083,P0073,C0188,17,Europe,1,0,1.24,0,1605.65
TX00117,2023-01-09 13:00:16.201620162,P0082,C0070,12,Asia,1,0,1.33,0,1225.44
TX00118,2023-01-09 14:45:24.032403240,P0055,C0262,17,Europe,1,1,1.34,0,3095.02
TX00119,2023-01-09 16:30:31.863186318,P0094,C0045,47,North America,1,0,0.91,0,5562.92
TX00120,2023-01-09 18:15:39.693969396,P0016,C0223,16,Europe,0,0,1.13,0,1736.0
TX00121,2023-01-09 20:00:47.524752475,P0008,C0249,14,Europe,1,0,1.05,1,2301.88
TX00122,2023-01-09 21:45:55.355535553,P0096,C0075,3,North America,1,0,1.1,0,110.07
TX00123,2023-01-09 23:31:03.186318631,P0033,C0073,44,North America,0,1,0.78,0,8066.52
TX00124,2023-01-10 01:16:11.017101710,P0044,C0141,30,South America,0,0,1.18,0,353.1
TX00125,2023-01-10 03:01:18.847884788,P0087,C0072,46,South America,0,0,1.21,0,664.7
TX00126,2023-01-10 04:46:26.678667866,P0008,C0101,41,Asia,0,0,0.7,1,6741.22
TX00127,2023-01-10 06:31:34.509450945,P0006,C0093,35,South America,0,0,0.94,0,3707.9
TX00128,2023-01-10 08:16:42.340234023,P0015,C0068,26,South America,1,0,0.92,0,929.5
TX00129,2023-01-10 10:01:50.171017101,P0018,C0064,12,Asia,0,1,1.25,1,2249.52
TX00130,2023-01-10 11:46:58.001800180,P0005,C0192,31,Europe,0,0,1.17,0,3175.02
TX00131,2023-01-10 13:32:05.832583258,P0010,C0061,17,Europe,0,0,0.98,1,593.47
TX00132,2023-01-10 15:17:13.663366336,P0075,C0019,37,Europe,0,0,1.15,0,1708.66
TX00133,2023-01-10 17:02:21.494149414,P0060,C0240,8,North America,0,1,0.76,1,1096.16
TX00134,2023-01-10 18:47:29.324932493,P0041,C0202,19,Asia,1,1,0.73,0,587.1
TX00135,2023-01-10 20:32:37.155715571,P0012,C0299,26,Europe,0,1,0.74,0,4866.16
TX00136,2023-01-10 22:17:44.986498649,P0011,C0194,4,South America,1,0,0.53,0,622.28
TX00137,2023-01-11 00:02:52.817281728,P0084,C0061,15,South America,0,0,1.19,0,1064.1
TX00138,2023-01-11 01:48:00.648064806,P0073,C0106,47,South America,0,0,1.49,0,4439.15
TX00139,2023-01-11 03:33:08.478847884,P0019,C0124,14,Asia,1,0,0.81,0,628.32
TX00140,2023-01-11 05:18:16.309630963,P0049,C0266,30,Asia,1,0,1.43,0,2998.5
TX00141,2023-01-11 07:03:24.140414041,P0035,C0201,48,South America,0,0,1.11,0,2712.0
TX00142,2023-01-11 08:48:31.971197119,P0091,C0161,42,North America,1,0,0.72,0,1174.74
TX00143,2023-01-11 10:33:39.801980198,P0087,C0111,24,North America,0,0,0.51,0,346.8
TX00144,2023-01-11 12:18:47.632763276,P0068,C0031,46,Europe,0,0,1.22,0,3262.78
TX00145,2023-01-11 14:03:55.463546354,P0036,C0097,43,Europe,0,0,1.2,0,1505.0
TX00146,2023-01-11 15:49:03.294329432,P0011,C0246,34,Europe,0,0,0.73,0,5289.38
TX00147,2023-01-11 17:34:11.125112511,P0098,C0260,19,Europe,0,0,0.83,0,940.31
TX00148,2023-01-11 19:19:18.955895589,P0039,C0190,3,Europe,0,0,1.4,0,584.07
TX00149,2023-01-11 21:04:26.786678667,P0053,C0028,4,Asia,0,0,0.66,0,369.88
TX00150,2023-01-11 22:49:34.617461746,P0001,C0047,11,Asia,0,1,1.34,0,904.09
TX00151,2023-01-12 00:34:42.448244824,P0049,C0249,13,North America,0,0,0.67,1,1299.35
TX00152,2023-01-12 02:19:50.279027902,P0040,C0225,18,North America,1,0,0.98,0,3118.86
TX00153,2023-01-12 04:04:58.109810981,P0044,C0271,19,Asia,0,0,1.0,1,223.63
TX00154,2023-01-12 05:50:05.940594059,P0008,C0152,44,North America,0,1,0.97,0,7234.48
TX00155,2023-01-12 07:35:13.771377137,P0061,C0284,33,South America,1,0,0.79,1,5739.69
TX00156,2023-01-12 09:20:21.602160216,P0085,C0179,38,North America,0,0,0.75,0,7339.32
TX00157,2023-01-12 11:05:29.432943294,P0046,C0152,3,South America,0,1,1.23,0,56.25
TX00158,2023-01-12 12:50:37.263726372,P0004,C0233,49,South America,0,0,0.78,0,5702.62
TX00159,2023-01-12 14:35:45.094509450,P0075,C0022,35,Europe,0,0,1.11,0,1616.3
TX00160,2023-01-12 16:20:52.925292529,P0000,C0093,1,North America,0,1,1.35,0,122.59
TX00161,2023-01-12 18:06:00.756075607,P0043,C0244,35,South America,1,1,1.34,0,3165.4
TX00162,2023-01-12 19:51:08.586858685,P0021,C0289,36,North America,0,0,0.67,0,3141.36
TX00163,2023-01-12 21:36:16.417641764,P0037,C0159,38,North America,0,1,1.15,1,2562.34
TX00164,2023-01-12 23:21:24.248424842,P0018,C0284,39,Asia,0,0,1.1,0,7310.94
TX00165,2023-01-13 01:06:32.079207920,P0079,C0008,25,Asia,0,0,0.78,1,626.5
TX00166,2023-01-13 02:51:39.909990999,P0030,C0184,40,Europe,1,0,0.89,0,4699.6
TX00167,2023-01-13 04:36:47.740774077,P0066,C0294,13,North America,1,0,0.79,0,785.2
TX00168,2023-01-13 06:21:55.571557155,P0086,C0134,4,Asia,0,0,1.04,0,527.6
TX00169,2023-01-13 08:07:03.402340234,P0041,C0109,6,South America,1,1,1.3,1,185.4
TX00170,2023-01-13 09:52:11.233123312,P0081,C0068,11,South America,1,0,1.38,0,917.18
TX00171,2023-01-13 11:37:19.063906390,P0025,C0135,1,Europe,0,0,1.22,0,42.45
TX00172,2023-01-13 13:22:26.894689468,P0012,C0095,8,South America,1,0,0.98,0,1497.28
TX00173,2023-01-13 15:07:34.725472547,P0057,C0118,34,North America,1,0,1.46,0,3776.38
TX00174,2023-01-13 16:52:42.556255625,P0017,C0273,40,South America,0,0,1.06,0,1256.0
TX00175,2023-01-13 18:37:50.387038703,P0066,C0176,9,Europe,0,0,0.98,0,543.6
TX00176,2023-01-13 20:22:58.217821782,P0086,C0236,36,Europe,1,1,1.36,0,4748.4
TX00177,2023-01-13 22:08:06.048604860,P0002,C0271,49,South America,0,1,0.68,0,5163.13
TX00178,2023-01-13 23:53:13.879387938,P0054,C0276,39,North America,1,0,0.66,0,6461.91
TX00179,2023-01-14 01:38:21.710171017,P0088,C0137,42,Asia,0,0,1.28,0,3852.66
TX00180,2023-01-14 03:23:29.540954095,P0090,C0131,37,North America,0,0,1.37,0,2489.36
TX00181,2023-01-14 05:08:37.371737173,P0057,C0043,42,North America,0,0,0.57,0,4664.94
TX00182,2023-01-14 06:53:45.202520252,P0062,C0122,44,North America,0,0,1.26,0,1801.8
TX00183,2023-01-14 08:38:53.033303330,P0090,C0135,21,South America,0,0,0.92,1,1412.88
TX00184,2023-01-14 10:24:00.864086408,P0051,C0125,20,Asia,1,0,1.2,0,3501.4
TX00185,2023-01-14 12:09:08.694869487,P0088,C0274,38,North America,0,0,0.63,0,3485.74
TX00186,2023-01-14 13:54:16.525652565,P0023,C0063,1,Asia,0,1,1.47,0,160.99
TX00187,2023-01-14 15:39:24.356435643,P0071,C0295,35,Europe,0,0,1.38,0,641.9
TX00188,2023-01-14 17:24:32.187218721,P0008,C0231,28,Asia,0,0,0.91,0,4603.76
TX00189,2023-01-14 19:09:40.018001800,P0036,C0050,7,South America,1,0,1.39,0,245.0
TX00190,2023-01-14 20:54:47.848784878,P0093,C0136,43,Europe,1,0,1.39,0,5381.02
TX00191,2023-01-14 22:39:55.679567956,P0082,C0157,44,Europe,0,0,0.96,0,4493.28
TX00192,2023-01-15 00:25:03.510351035,P0052,C0055,9,North America,0,0,1.45,0,1221.84
TX00193,2023-01-15 02:10:11.341134113,P0079,C0080,1,Asia,0,0,1.48,0,25.06
TX00194,2023-01-15 03:55:19.171917191,P0023,C0231,36,Europe,0,1,0.72,1,5795.64
TX00195,2023-01-15 05:40:27.002700270,P0020,C0127,34,Europe,1,1,0.57,0,1973.02
TX00196,2023-01-15 07:25:34.833483348,P0099,C0125,34,Asia,0,0,0.83,0,3596.18
TX00197,2023-01-15 09:10:42.664266426,P0039,C0079,17,Asia,0,0,0.99,0,3309.73
TX00198,2023-01-15 10:55:50.495049505,P0061,C0174,32,Europe,0,0,0.59,0,5565.76
TX00199,2023-01-15 12:40:58.325832583,P0069,C0144,2,Europe,1,0,0.64,0,229.88
TX00200,2023-01-15 14:26:06.156615661,P0068,C0125,36,Asia,1,0,1.47,0,2553.48
TX00201,2023-01-15 16:11:13.987398739,P0013,C0181,25,South America,1,0,1.24,0,4749.75
TX00202,2023-01-15 17:56:21.818181818,P0041,C0218,43,Asia,1,0,1.37,1,1328.7
TX00203,2023-01-15 19:41:29.648964896,P0049,C0277,26,South America,1,0,1.47,0,2598.7
TX00204,2023-01-15 21:26:37.479747974,P0060,C0082,45,Europe,1,0,0.88,0,6165.9
TX00205,2023-01-15 23:11:45.310531053,P0003,C0140,26,North America,1,0,1.19,0,3248.96
TX00206,2023-01-16 00:56:53.141314131,P0071,C0094,21,Asia,1,1,0.68,0,385.14
TX00207,2023-01-16 02:42:00.972097209,P0087,C0193,18,Europe,0,1,1.05,0,260.1
TX00208,2023-01-16 04:27:08.802880288,P0074,C0109,29,Europe,0,0,0.71,0,1702.3
TX00209,2023-01-16 06:12:16.633663366,P0016,C0051,24,North America,0,0,0.66,0,2604.0
TX00210,2023-01-16 07:57:24.464446444,P0084,C0102,47,Asia,0,0,0.6,0,3334.18
TX00211,2023-01-16 09:42:32.295229523,P0056,C0100,28,Europe,1,0,1.08,0,917.0
TX00212,2023-01-16 11:27:40.126012601,P0089,C0141,12,South America,1,0,1.45,0,2115.0
TX00213,2023-01-16 13:12:47.956795679,P0047,C0200,11,North America,0,0,0.62,0,1246.74
TX00214,2023-01-16 14:57:55.787578757,P0043,C0198,27,South America,0,0,1.0,0,2441.88
TX00215,2023-01-16 16:43:03.618361836,P0044,C0283,23,Asia,1,0,1.19,0,270.71
TX00216,2023-01-16 18:28:11.449144914,P0090,C0216,33,South America,0,0,1.0,0,2220.24
TX00217,2023-01-16 20:13:19.279927992,P0079,C0045,16,North America,0,0,1.41,0,400.96
TX00218,2023-01-16 21:58:27.110711071,P0089,C0027,28,Europe,1,0,0.67,0,4935.0
TX00219,2023-01-16 23:43:34.941494149,P0032,C0001,28,North America,0,0,0.52,0,5268.48
TX00220,2023-01-17 01:28:42.772277227,P0030,C0016,45,Europe,0,0,0.88,1,5287.05
TX00221,2023-01-17 03:13:50.603060306,P0046,C0076,38,Europe,0,0,1.06,0,712.5
TX00222,2023-01-17 04:58:58.433843384,P0005,C0164,6,South America,0,1,0.75,0,614.52
TX00223,2023-01-17 06:44:06.264626462,P0071,C0096,42,North America,0,1,0.67,0,770.28
TX00224,2023-01-17 08:29:14.095409541,P0070,C0104,29,North America,0,0,1.3,0,568.4
TX00225,2023-01-17 10:14:21.926192619,P0033,C0023,34,Europe,0,0,0.69,0,6233.22
TX00226,2023-01-17 11:59:29.756975697,P0052,C0199,3,North America,0,0,0.94,0,407.28
TX00227,2023-01-17 13:44:37.587758775,P0013,C0034,6,Asia,1,1,1.45,1,1139.94
TX00228,2023-01-17 15:29:45.418541854,P0015,C0001,48,Asia,0,1,1.11,0,1716.0
TX00229,2023-01-17 17:14:53.249324932,P0042,C0288,38,South America,0,0,1.0,0,7220.38
TX00230,2023-01-17 19:00:01.080108010,P0072,C0137,13,South America,0,1,0.86,1,1909.31
TX00231,2023-01-17 20:45:08.910891089,P0073,C0061,36,North America,0,0,1.02,0,3400.2
TX00232,2023-01-17 22:30:16.741674167,P0080,C0298,15,South America,0,0,1.23,0,695.7
TX00233,2023-01-18 00:15:24.572457245,P0011,C0196,6,North America,0,0,1.32,0,933.42
TX00234,2023-01-18 02:00:32.403240324,P0069,C0058,33,South America,1,0,1.15,0,3793.02
TX00235,2023-01-18 03:45:40.234023402,P0018,C0264,41,Asia,1,1,1.29,0,7685.86
TX00236,2023-01-18 05:30:48.064806480,P0040,C0187,12,Europe,0,0,0.59,0,2079.24
TX00237,2023-01-18 07:15:55.895589559,P0052,C0062,43,Europe,0,1,0.51,0,5837.68
TX00238,2023-01-18 09:01:03.726372637,P0028,C0278,13,Asia,0,1,1.23,0,494.26
TX00239,2023-01-18 10:46:11.557155715,P0069,C0029,33,Europe,0,1,0.76,0,3793.02
TX00240,2023-01-18 12:31:19.387938793,P0058,C0170,28,North America,1,0,1.38,0,1793.68
TX00241,2023-01-18 14:16:27.218721872,P0088,C0020,36,North America,0,0,1.04,0,3302.28
TX00242,2023-01-18 16:01:35.049504950,P0063,C0298,5,Asia,1,0,0.98,0,821.8
TX00243,2023-01-18 17:46:42.880288028,P0023,C0200,25,Asia,1,0,1.27,0,4024.75
TX00244,2023-01-18 19:31:50.711071107,P0088,C0134,17,Asia,0,0,1.24,1,1559.41
TX00245,2023-01-18 21:16:58.541854185,P0015,C0271,37,Asia,0,0,1.2,0,1322.75
TX00246,2023-01-18 23:02:06.372637263,P0051,C0022,19,Europe,0,0,1.19,0,3326.33
TX00247,2023-01-19 00:47:14.203420342,P0079,C0086,35,Europe,0,0,1.02,0,877.1
TX00248,2023-01-19 02:32:22.034203420,P0005,C0030,43,Europe,1,1,1.43,1,4404.06
TX00249,2023-01-19 04:17:29.864986498,P0036,C0120,34,North America,0,0,1.39,0,1190.0
TX00250,2023-01-19 06:02:37.695769577,P0084,C0068,46,South America,0,0,0.83,0,3263.24
TX00251,2023-01-19 07:47:45.526552655,P0003,C0133,6,North America,1,0,1.3,0,749.76
TX00252,2023-01-19 09:32:53.357335733,P0097,C0145,19,South America,0,0,1.39,0,2437.32
TX00253,2023-01-19 11:18:01.188118811,P0091,C0262,1,Asia,0,0,1.12,1,27.97
TX00254,2023-01-19 13:03:09.018901890,P0037,C0292,7,Asia,0,0,1.06,0,472.01
TX00255,2023-01-19 14:48:16.849684968,P0040,C0085,34,Europe,0,1,1.17,0,5891.18
TX00256,2023-01-19 16:33:24.680468046,P0091,C0015,19,Europe,0,1,0.66,0,531.43
TX00257,2023-01-19 18:18:32.511251125,P0080,C0215,33,South America,0,0,0.59,0,1530.54
TX00258,2023-01-19 20:03:40.342034203,P0013,C0115,26,South America,0,0,1.32,0,4939.74
TX00259,2023-01-19 21:48:48.172817281,P0070,C0117,41,Europe,0,0,1.07,1,803.6
TX00260,2023-01-19 23:33:56.003600360,P0085,C0269,49,Asia,0,0,0.62,0,9463.86
TX00261,2023-01-20 01:19:03.834383438,P0050,C0161,42,Europe,1,0,0.92,0,5313.0
TX00262,2023-01-20 03:04:11.665166516,P0064,C0187,27,Asia,0,0,0.8,0,4648.05
TX00263,2023-01-20 04:49:19.495949595,P0092,C0103,38,Asia,0,0,1.38,0,5855.42
TX00264,2023-01-20 06:34:27.326732673,P0051,C0140,26,North America,1,0,1.01,0,4551.82
TX00265,2023-01-20 08:19:35.157515751,P0094,C0166,35,North America,1,1,1.08,0,4142.6
TX00266,2023-01-20 10:04:42.988298829,P0029,C0299,20,South America,1,1,0.74,0,2524.2
TX00267,2023-01-20 11:49:50.819081908,P0056,C0027,24,Asia,0,1,1.3,0,786.0
TX00268,2023-01-20 13:34:58.649864986,P0078,C0271,47,Europe,0,0,1.43,0,7666.64
TX00269,2023-01-20 15:20:06.480648064,P0081,C0049,21,Asia,0,0,1.29,0,1750.98
TX00270,2023-01-20 17:05:14.311431143,P0098,C0155,26,South America,1,0,0.99,0,1286.74
TX00271,2023-01-20 18:50:22.142214221,P0029,C0120,20,Asia,0,0,1.34,0,2524.2
TX00272,2023-01-20 20:35:29.972997299,P0097,C0139,6,Asia,0,0,0.69,0,769.68
TX00273,2023-01-20 22:20:37.803780378,P0041,C0015,3,South America,0,0,0.61,0,92.7
TX00274,2023-01-21 00:05:45.634563456,P0010,C0048,10,Asia,0,0,0.94,0,349.1
TX00275,2023-01-21 01:50:53.465346534,P0026,C0163,12,North America,0,0,0.68,0,729.24
